ST,PUMA,PUMAID,AGEP,HISP,RAC1P,SEX
39,04103,3904103,2,1,1,1
39,04102,3904102,2,1,1,1
39,04102,3904102,2,1,1,2
39,04107,3904107,2,1,1,1
39,04107,3904107,2,1,1,2
39,04107,3904107,1,1,1,1
39,04110,3904110,2,1,1,2
39,04110,3904110,2,1,1,2
39,04103,3904103,2,1,1,2
39,04103,3904103,2,1,1,1
39,04102,3904102,2,1,1,2
39,04107,3904107,2,1,1,1
39,04107,3904107,1,1,7,2
39,04107,3904107,2,1,1,1
39,04107,3904107,2,1,1,1
39,04107,3904107,2,1,1,2
39,04106,3904106,2,1,1,2
39,04106,3904106,1,1,1,2
39,04106,3904106,1,1,1,2
39,04106,3904106,2,1,1,1
39,04111,3904111,2,1,1,1
39,04110,3904110,2,1,1,2
39,04110,3904110,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,2
39,04105,3904105,1,1,1,2
39,04105,3904105,1,1,1,2
39,04111,3904111,2,1,1,1
39,04111,3904111,2,1,1,2
39,04106,3904106,2,1,2,2
39,04106,3904106,2,1,2,2
39,04106,3904106,1,1,2,1
39,04106,3904106,1,1,2,2
39,04106,3904106,1,1,2,2
39,04101,3904101,2,1,1,2
39,04101,3904101,2,1,1,1
39,04110,3904110,2,1,1,1
39,04110,3904110,1,1,1,2
39,04105,3904105,2,1,1,1
39,04105,3904105,2,2,2,1
39,04109,3904109,2,1,1,2
39,04109,3904109,2,1,7,1
39,04104,3904104,2,1,1,2
39,04107,3904107,2,1,1,1
39,04107,3904107,2,2,1,1
39,04107,3904107,2,2,1,2
39,04107,3904107,2,2,1,1
39,04107,3904107,1,2,1,1
39,04107,3904107,1,2,1,1
39,04107,3904107,1,2,1,2
39,04107,3904107,2,2,1,2
39,04107,3904107,2,2,1,1
39,04108,3904108,2,1,2,2
39,04108,3904108,2,1,2,1
39,04104,3904104,2,1,1,2
39,04101,3904101,2,1,1,1
39,04101,3904101,2,1,1,2
39,04101,3904101,1,1,1,2
39,04101,3904101,1,1,1,2
39,04108,3904108,2,1,1,1
39,04108,3904108,2,1,1,2
39,04106,3904106,2,1,2,2
39,04106,3904106,2,1,2,2
39,04106,3904106,2,1,2,2
39,04106,3904106,2,1,2,1
39,04111,3904111,2,1,1,1
39,04111,3904111,2,1,1,2
39,04104,3904104,2,1,1,2
39,04104,3904104,2,1,1,1
39,04104,3904104,1,2,1,2
39,04104,3904104,1,1,1,2
39,04107,3904107,2,1,1,1
39,04103,3904103,2,1,1,2
39,04103,3904103,2,1,1,1
39,04101,3904101,2,1,1,2
39,04106,3904106,2,1,2,2
39,04106,3904106,2,1,2,2
39,04108,3904108,2,1,1,1
39,04108,3904108,2,1,1,2
39,04105,3904105,2,1,1,2
39,04102,3904102,2,1,1,1
39,04102,3904102,2,1,1,2
39,04101,3904101,2,1,1,2
39,04101,3904101,2,1,1,1
39,04108,3904108,2,1,1,1
39,04108,3904108,2,1,1,2
39,04103,3904103,2,1,1,2
39,04103,3904103,2,1,1,1
39,04107,3904107,2,2,6,2
39,04107,3904107,1,2,6,2
39,04107,3904107,1,2,6,2
39,04105,3904105,2,1,4,1
39,04107,3904107,2,1,1,1
39,04107,3904107,2,1,7,2
39,04107,3904107,1,1,7,2
39,04107,3904107,1,1,7,1
39,04106,3904106,2,1,1,2
39,04106,3904106,2,1,2,2
39,04109,3904109,2,1,1,2
39,04109,3904109,2,1,1,1
39,04109,3904109,2,1,1,2
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,1
39,04110,3904110,2,2,1,1
39,04110,3904110,2,2,1,1
39,04110,3904110,2,2,1,1
39,04105,3904105,2,1,1,1
39,04108,3904108,2,1,1,1
39,04105,3904105,2,1,1,2
39,04107,3904107,2,1,2,2
39,04107,3904107,1,1,2,1
39,04102,3904102,2,2,1,1
39,04109,3904109,2,1,2,2
39,04109,3904109,2,1,2,1
39,04108,3904108,2,1,2,2
39,04110,3904110,2,1,1,1
39,04104,3904104,2,1,1,2
39,04104,3904104,2,1,1,2
39,04109,3904109,2,1,4,2
39,04109,3904109,1,1,7,1
39,04109,3904109,1,1,7,2
39,04109,3904109,1,1,7,1
39,04109,3904109,2,1,2,1
39,04103,3904103,2,1,1,2
39,04105,3904105,2,1,1,1
39,04110,3904110,2,1,1,2
39,04110,3904110,2,1,1,1
39,04108,3904108,2,1,2,2
39,04111,3904111,2,1,1,1
39,04111,3904111,2,1,1,2
39,04109,3904109,2,1,2,1
39,04109,3904109,2,1,2,2
39,04109,3904109,1,1,2,1
39,04111,3904111,2,1,1,2
39,04111,3904111,2,1,1,1
39,04110,3904110,2,1,1,2
39,04110,3904110,2,1,1,1
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,2
39,04107,3904107,2,1,1,1
39,04111,3904111,2,1,7,1
39,04107,3904107,2,1,1,1
39,04107,3904107,2,1,1,2
39,04107,3904107,1,1,1,2
39,04104,3904104,2,1,1,1
39,04111,3904111,2,1,1,1
39,04110,3904110,2,1,1,1
39,04110,3904110,2,1,1,2
39,04107,3904107,2,1,1,1
39,04107,3904107,1,1,1,1
39,04107,3904107,2,1,1,2
39,04106,3904106,2,1,2,1
39,04106,3904106,2,1,2,2
39,04106,3904106,2,1,2,1
39,04102,3904102,2,1,4,1
39,04102,3904102,2,1,4,2
39,04102,3904102,1,1,4,2
39,04102,3904102,2,1,4,2
39,04102,3904102,2,1,4,1
39,04106,3904106,2,1,2,2
39,04103,3904103,2,1,1,1
39,04101,3904101,2,1,1,2
39,04101,3904101,2,2,6,1
39,04101,3904101,2,1,1,1
39,04101,3904101,2,1,1,1
39,04101,3904101,2,1,1,1
39,04109,3904109,2,1,2,2
39,04105,3904105,2,1,1,1
39,04105,3904105,2,2,1,2
39,04110,3904110,2,1,1,2
39,04103,3904103,2,1,4,1
39,04103,3904103,2,1,4,2
39,04103,3904103,1,1,4,1
39,04103,3904103,1,1,4,2
39,04104,3904104,2,1,1,1
39,04104,3904104,2,1,1,2
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,1
39,04105,3904105,1,1,1,2
39,04105,3904105,1,1,1,2
39,04105,3904105,1,1,1,1
39,04104,3904104,2,1,1,2
39,04104,3904104,2,1,1,1
39,04104,3904104,1,1,1,2
39,04104,3904104,1,1,1,2
39,04101,3904101,2,1,4,1
39,04108,3904108,2,1,2,2
39,04108,3904108,2,1,2,1
39,04108,3904108,2,1,2,2
39,04108,3904108,2,1,2,1
39,04106,3904106,2,1,7,2
39,04106,3904106,1,1,7,2
39,04106,3904106,1,1,7,2
39,04106,3904106,1,1,7,1
39,04106,3904106,1,1,7,1
39,04102,3904102,2,1,2,1
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,1
39,04105,3904105,1,1,1,1
39,04105,3904105,1,1,1,1
39,04108,3904108,2,1,2,1
39,04108,3904108,2,1,2,2
39,04107,3904107,2,1,2,2
39,04107,3904107,2,1,2,1
39,04107,3904107,1,1,2,2
39,04107,3904107,1,1,2,1
39,04107,3904107,1,1,2,1
39,04107,3904107,1,1,2,2
39,04102,3904102,2,1,1,1
39,04102,3904102,2,1,1,2
39,04106,3904106,2,1,1,1
39,04106,3904106,2,1,1,2
39,04106,3904106,2,1,1,2
39,04108,3904108,2,1,2,2
39,04108,3904108,1,1,2,1
39,04108,3904108,2,1,2,1
39,04101,3904101,2,1,1,1
39,04101,3904101,2,1,1,2
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,2
39,04108,3904108,2,1,2,2
39,04108,3904108,2,1,2,1
39,04108,3904108,2,1,2,2
39,04103,3904103,2,1,1,1
39,04103,3904103,2,1,1,2
39,04103,3904103,2,1,2,1
39,04109,3904109,2,1,1,1
39,04109,3904109,2,1,1,2
39,04109,3904109,1,1,1,1
39,04105,3904105,2,1,1,2
39,04110,3904110,2,1,2,1
39,04110,3904110,2,1,2,2
39,04104,3904104,2,1,1,1
39,04104,3904104,2,1,1,2
39,04109,3904109,2,1,1,2
39,04109,3904109,1,1,1,2
39,04104,3904104,2,1,1,1
39,04104,3904104,2,1,1,1
39,04104,3904104,2,1,1,2
39,04104,3904104,2,1,1,1
39,04107,3904107,2,1,2,1
39,04107,3904107,2,1,2,2
39,04107,3904107,1,1,2,1
39,04107,3904107,2,1,2,1
39,04107,3904107,2,1,2,1
39,04110,3904110,2,1,1,2
39,04106,3904106,2,1,1,2
39,04106,3904106,2,1,1,1
39,04106,3904106,1,1,1,1
39,04107,3904107,2,1,2,2
39,04111,3904111,2,1,1,1
39,04111,3904111,2,1,1,2
39,04111,3904111,1,1,1,1
39,04111,3904111,1,1,1,2
39,04111,3904111,2,1,1,1
39,04107,3904107,2,1,1,2
39,04107,3904107,2,1,1,1
39,04107,3904107,1,1,1,2
39,04102,3904102,2,1,1,2
39,04102,3904102,2,1,1,1
39,04102,3904102,1,1,1,1
39,04102,3904102,1,1,1,1
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,2
39,04109,3904109,2,1,1,2
39,04109,3904109,1,1,1,1
39,04101,3904101,2,1,1,1
39,04101,3904101,2,1,1,2
39,04108,3904108,2,1,1,1
39,04108,3904108,2,1,1,2
39,04101,3904101,2,1,2,1
39,04101,3904101,2,1,2,2
39,04101,3904101,2,1,2,2
39,04103,3904103,2,1,1,1
39,04103,3904103,2,1,1,2
39,04111,3904111,2,1,1,2
39,04111,3904111,2,1,1,1
39,04111,3904111,2,1,1,1
39,04111,3904111,1,1,1,1
39,04111,3904111,1,1,1,1
39,04111,3904111,1,1,1,2
39,04106,3904106,2,1,1,1
39,04106,3904106,2,1,1,1
39,04106,3904106,2,1,1,2
39,04105,3904105,2,1,2,1
39,04106,3904106,2,1,2,1
39,04106,3904106,2,1,2,2
39,04106,3904106,1,1,2,1
39,04106,3904106,1,1,2,1
39,04106,3904106,1,1,2,2
39,04104,3904104,2,1,1,1
39,04104,3904104,2,1,1,2
39,04109,3904109,2,1,1,2
39,04109,3904109,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,2
39,04103,3904103,2,1,1,1
39,04103,3904103,2,1,1,2
39,04109,3904109,2,1,1,1
39,04109,3904109,2,1,4,2
39,04109,3904109,1,1,7,1
39,04109,3904109,1,1,7,1
39,04109,3904109,1,1,7,1
39,04111,3904111,2,1,1,2
39,04111,3904111,1,1,1,1
39,04111,3904111,1,1,1,2
39,04107,3904107,2,1,2,2
39,04107,3904107,1,1,2,2
39,04110,3904110,2,1,1,1
39,04101,3904101,2,1,1,2
39,04101,3904101,2,1,1,1
39,04101,3904101,1,1,1,1
39,04101,3904101,1,1,1,2
39,04109,3904109,2,1,1,1
39,04109,3904109,2,1,1,2
39,04109,3904109,1,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,2
39,04103,3904103,2,1,1,2
39,04109,3904109,2,1,1,2
39,04109,3904109,1,1,1,2
39,04104,3904104,2,1,1,1
39,04102,3904102,2,1,1,1
39,04102,3904102,2,1,1,2
39,04102,3904102,1,1,1,1
39,04102,3904102,2,1,1,1
39,04102,3904102,2,1,1,2
39,04102,3904102,2,1,1,1
39,04102,3904102,1,1,1,2
39,04110,3904110,2,1,1,1
39,04107,3904107,2,1,1,1
39,04108,3904108,2,1,2,1
39,04108,3904108,2,1,2,1
39,04108,3904108,2,1,2,2
39,04108,3904108,2,1,2,2
39,04108,3904108,1,1,2,2
39,04108,3904108,1,1,2,1
39,04108,3904108,1,1,2,2
39,04108,3904108,1,1,2,2
39,04108,3904108,2,1,1,1
39,04105,3904105,2,1,2,2
39,04105,3904105,2,1,2,1
39,04105,3904105,2,1,2,2
39,04110,3904110,2,2,1,1
39,04110,3904110,1,2,1,2
39,04110,3904110,1,2,1,1
39,04110,3904110,2,2,1,2
39,04104,3904104,2,1,1,1
39,04102,3904102,2,1,1,2
39,04104,3904104,2,1,1,1
39,04104,3904104,2,1,1,2
39,04104,3904104,2,1,1,2
39,04107,3904107,2,1,2,2
39,04107,3904107,2,1,2,1
39,04111,3904111,2,1,1,2
39,04111,3904111,2,1,1,1
39,04111,3904111,1,1,1,2
39,04111,3904111,1,1,1,1
39,04107,3904107,2,1,1,2
39,04107,3904107,2,1,1,1
39,04107,3904107,2,1,1,2
39,04106,3904106,2,1,2,2
39,04106,3904106,1,1,2,2
39,04106,3904106,2,1,1,1
39,04106,3904106,2,1,1,2
39,04106,3904106,1,1,7,2
39,04106,3904106,2,1,2,1
39,04106,3904106,2,1,2,1
39,04106,3904106,2,1,2,2
39,04106,3904106,2,1,2,1
39,04104,3904104,2,1,1,2
39,04106,3904106,2,1,1,2
39,04106,3904106,2,1,1,1
39,04108,3904108,2,2,6,1
39,04108,3904108,2,2,6,2
39,04108,3904108,1,2,6,1
39,04108,3904108,1,2,6,2
39,04108,3904108,1,2,6,2
39,04108,3904108,1,2,6,1
39,04104,3904104,2,1,1,2
39,04101,3904101,2,1,1,1
39,04101,3904101,2,1,1,2
39,04101,3904101,2,1,1,1
39,04110,3904110,2,1,1,1
39,04110,3904110,2,1,1,2
39,04110,3904110,2,1,1,1
39,04106,3904106,2,1,1,1
39,04109,3904109,2,1,1,1
39,04109,3904109,2,2,1,2
39,04109,3904109,1,2,1,2
39,04109,3904109,1,2,1,1
39,04109,3904109,1,1,1,2
39,04109,3904109,1,1,1,1
39,04109,3904109,1,1,1,1
39,04104,3904104,2,1,4,1
39,04104,3904104,2,1,4,2
39,04111,3904111,2,1,7,2
39,04110,3904110,2,1,1,2
39,04110,3904110,2,1,1,1
39,04103,3904103,2,1,1,2
39,04103,3904103,2,1,1,1
39,04111,3904111,2,1,1,1
39,04102,3904102,2,1,1,1
39,04102,3904102,2,1,1,2
39,04107,3904107,2,1,1,2
39,04107,3904107,1,1,1,2
39,04107,3904107,1,1,1,2
39,04104,3904104,2,1,1,2
39,04111,3904111,2,1,1,2
39,04101,3904101,2,1,1,1
39,04101,3904101,2,1,1,2
39,04101,3904101,1,1,1,2
39,04102,3904102,2,1,1,1
39,04106,3904106,2,1,1,2
39,04106,3904106,2,1,1,2
39,04110,3904110,2,1,1,1
39,04110,3904110,2,1,1,2
39,04105,3904105,2,1,2,2
39,04105,3904105,1,1,2,1
39,04103,3904103,2,1,1,2
39,04103,3904103,1,1,1,1
39,04103,3904103,1,1,1,1
39,04105,3904105,2,1,1,2
39,04105,3904105,1,1,1,1
39,04102,3904102,2,1,1,1
39,04102,3904102,2,1,1,2
39,04104,3904104,2,1,1,1
39,04104,3904104,2,1,1,2
39,04104,3904104,2,1,1,1
39,04104,3904104,2,1,1,1
39,04104,3904104,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04110,3904110,2,1,1,1
39,04110,3904110,2,1,1,1
39,04110,3904110,2,1,1,2
39,04110,3904110,2,1,1,1
39,04101,3904101,2,1,1,1
39,04110,3904110,2,1,1,2
39,04110,3904110,2,1,1,1
39,04106,3904106,2,1,2,2
39,04106,3904106,1,1,2,2
39,04102,3904102,2,1,1,1
39,04102,3904102,2,1,1,2
39,04107,3904107,2,1,1,1
39,04105,3904105,2,1,1,1
39,04106,3904106,2,1,1,2
39,04108,3904108,2,1,1,1
39,04108,3904108,2,1,1,2
39,04108,3904108,1,1,1,2
39,04108,3904108,1,1,1,1
39,04110,3904110,2,1,1,2
39,04110,3904110,2,1,1,1
39,04106,3904106,2,1,1,2
39,04106,3904106,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04108,3904108,2,1,1,1
39,04108,3904108,2,1,1,2
39,04102,3904102,2,1,1,2
39,04108,3904108,2,1,2,2
39,04108,3904108,1,1,2,1
39,04107,3904107,2,1,2,1
39,04107,3904107,2,1,1,2
39,04105,3904105,2,1,4,2
39,04105,3904105,2,1,2,1
39,04105,3904105,2,1,1,1
39,04102,3904102,2,1,1,1
39,04102,3904102,2,1,1,2
39,04102,3904102,1,1,1,2
39,04102,3904102,1,1,1,2
39,04102,3904102,1,1,1,2
39,04106,3904106,2,1,2,1
39,04111,3904111,2,1,4,1
39,04111,3904111,2,1,4,2
39,04111,3904111,1,1,4,1
39,04107,3904107,2,1,2,1
39,04107,3904107,2,1,2,2
39,04107,3904107,2,1,2,2
39,04108,3904108,2,1,1,2
39,04108,3904108,1,1,7,2
39,04106,3904106,2,2,7,2
39,04106,3904106,2,1,2,1
39,04106,3904106,2,2,7,2
39,04106,3904106,1,2,7,1
39,04106,3904106,1,2,7,2
39,04106,3904106,1,2,7,2
39,04104,3904104,2,1,1,2
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04107,3904107,2,1,1,2
39,04101,3904101,2,1,1,2
39,04110,3904110,2,1,1,1
39,04110,3904110,2,1,1,1
39,04110,3904110,1,1,1,1
39,04110,3904110,1,1,1,2
39,04110,3904110,2,1,1,2
39,04110,3904110,2,1,1,2
39,04110,3904110,2,1,2,1
39,04108,3904108,2,1,1,1
39,04104,3904104,2,1,1,1
39,04104,3904104,2,1,1,2
39,04108,3904108,2,2,6,2
39,04108,3904108,1,2,6,2
39,04108,3904108,1,2,6,1
39,04108,3904108,1,2,6,1
39,04103,3904103,2,1,2,2
39,04103,3904103,2,1,2,2
39,04103,3904103,2,1,2,2
39,04111,3904111,2,1,1,1
39,04111,3904111,2,1,1,2
39,04111,3904111,1,1,1,1
39,04111,3904111,1,1,1,2
39,04106,3904106,2,1,1,1
39,04102,3904102,2,1,1,1
39,04102,3904102,2,1,1,2
39,04102,3904102,1,1,1,1
39,04102,3904102,1,1,1,2
39,04102,3904102,1,1,1,2
39,04109,3904109,2,1,1,2
39,04109,3904109,2,1,1,1
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,1
39,04105,3904105,1,1,1,2
39,04110,3904110,2,1,4,2
39,04110,3904110,1,1,4,1
39,04110,3904110,2,1,4,1
39,04104,3904104,2,1,1,2
39,04104,3904104,2,1,1,1
39,04104,3904104,1,1,1,2
39,04107,3904107,2,1,1,1
39,04103,3904103,2,1,1,2
39,04103,3904103,2,1,1,1
39,04103,3904103,1,1,1,1
39,04107,3904107,2,1,2,1
39,04104,3904104,2,1,1,2
39,04110,3904110,2,1,1,1
39,04110,3904110,1,1,7,1
39,04103,3904103,2,1,2,2
39,04109,3904109,2,1,1,1
39,04109,3904109,2,1,1,2
39,04109,3904109,1,1,1,1
39,04110,3904110,2,1,2,2
39,04103,3904103,2,1,1,2
39,04103,3904103,2,1,1,1
39,04103,3904103,1,1,1,1
39,04104,3904104,2,1,1,1
39,04104,3904104,2,1,1,2
39,04106,3904106,2,1,7,1
39,04109,3904109,2,1,1,1
39,04109,3904109,2,1,1,2
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,2
39,04104,3904104,2,1,1,2
39,04104,3904104,2,1,1,1
39,04104,3904104,2,1,1,2
39,04104,3904104,1,1,1,2
39,04104,3904104,1,1,1,1
39,04108,3904108,2,1,2,2
39,04108,3904108,2,1,2,1
39,04108,3904108,1,1,2,1
39,04108,3904108,1,1,2,1
39,04108,3904108,1,1,2,1
39,04106,3904106,2,1,2,1
39,04106,3904106,2,1,2,2
39,04106,3904106,1,1,2,2
39,04106,3904106,1,1,2,2
39,04107,3904107,2,1,1,1
39,04107,3904107,2,1,1,2
39,04106,3904106,2,1,2,2
39,04106,3904106,1,1,2,2
39,04106,3904106,1,1,2,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04107,3904107,2,1,1,2
39,04101,3904101,2,1,1,1
39,04101,3904101,2,2,1,2
39,04108,3904108,2,1,3,2
39,04105,3904105,2,1,1,2
39,04110,3904110,2,1,1,1
39,04110,3904110,2,1,1,2
39,04108,3904108,2,1,2,2
39,04110,3904110,2,1,7,2
39,04110,3904110,2,1,7,2
39,04102,3904102,2,1,2,2
39,04102,3904102,2,1,2,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,2
39,04108,3904108,2,1,1,2
39,04107,3904107,2,1,2,1
39,04107,3904107,2,1,2,2
39,04107,3904107,1,1,2,1
39,04107,3904107,2,1,2,2
39,04107,3904107,2,1,2,2
39,04102,3904102,2,1,4,1
39,04102,3904102,2,1,4,2
39,04102,3904102,1,1,4,2
39,04102,3904102,1,1,4,1
39,04103,3904103,2,1,1,1
39,04103,3904103,2,1,1,1
39,04107,3904107,2,1,1,2
39,04107,3904107,2,1,1,1
39,04107,3904107,1,1,1,2
39,04107,3904107,1,1,1,2
39,04104,3904104,2,1,6,1
39,04106,3904106,2,1,1,2
39,04102,3904102,2,1,1,1
39,04101,3904101,2,1,1,1
39,04101,3904101,2,1,1,2
39,04101,3904101,2,1,1,1
39,04109,3904109,1,1,7,1
39,04105,3904105,2,1,1,1
39,04108,3904108,2,1,1,2
39,04108,3904108,1,1,1,2
39,04102,3904102,2,1,1,2
39,04107,3904107,2,1,2,2
39,04107,3904107,2,1,2,2
39,04107,3904107,2,1,2,1
39,04107,3904107,1,1,2,2
39,04110,3904110,2,1,1,2
39,04110,3904110,2,1,1,2
39,04109,3904109,2,1,1,2
39,04107,3904107,2,1,2,2
39,04107,3904107,2,1,2,1
39,04107,3904107,2,1,2,1
39,04102,3904102,2,1,4,2
39,04102,3904102,2,1,1,1
39,04102,3904102,2,1,1,2
39,04102,3904102,1,1,1,1
39,04109,3904109,2,1,1,1
39,04109,3904109,2,1,1,2
39,04109,3904109,2,1,1,1
39,04109,3904109,2,1,1,1
39,04109,3904109,2,1,1,1
39,04111,3904111,2,1,1,1
39,04111,3904111,2,1,1,2
39,04103,3904103,2,1,1,2
39,04103,3904103,2,1,1,1
39,04103,3904103,1,1,1,1
39,04107,3904107,2,1,1,2
39,04106,3904106,2,1,2,1
39,04106,3904106,2,1,2,2
39,04107,3904107,2,1,2,1
39,04107,3904107,2,1,2,1
39,04103,3904103,2,1,1,2
39,04110,3904110,2,1,2,1
39,04109,3904109,2,1,2,2
39,04106,3904106,2,1,1,2
39,04104,3904104,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,4,2
39,04107,3904107,2,1,2,2
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,1
39,04102,3904102,2,1,1,2
39,04102,3904102,1,1,1,1
39,04102,3904102,2,1,1,1
39,04108,3904108,2,1,1,2
39,04104,3904104,2,1,1,2
39,04104,3904104,2,1,1,1
39,04103,3904103,2,1,1,1
39,04103,3904103,2,1,1,2
39,04103,3904103,2,1,1,1
39,04102,3904102,2,1,1,2
39,04102,3904102,2,1,1,1
39,04111,3904111,2,1,1,1
39,04111,3904111,2,1,1,2
39,04102,3904102,2,1,1,2
39,04107,3904107,2,1,1,1
39,04107,3904107,2,1,1,2
39,04107,3904107,1,1,1,1
39,04107,3904107,1,1,1,1
39,04102,3904102,2,1,2,1
39,04102,3904102,2,1,1,2
39,04102,3904102,2,1,4,1
39,04102,3904102,2,1,4,2
39,04102,3904102,1,1,4,2
39,04102,3904102,1,1,4,1
39,04106,3904106,2,1,4,1
39,04106,3904106,2,1,4,1
39,04105,3904105,2,1,1,2
39,04107,3904107,2,1,2,2
39,04108,3904108,2,1,2,1
39,04109,3904109,2,1,4,1
39,04109,3904109,2,1,4,2
39,04109,3904109,1,1,4,2
39,04111,3904111,2,1,1,2
39,04105,3904105,2,1,1,1
39,04109,3904109,2,1,1,2
39,04109,3904109,1,2,1,1
39,04109,3904109,1,1,1,2
39,04109,3904109,2,1,1,1
39,04108,3904108,2,1,1,2
39,04107,3904107,2,1,1,1
39,04107,3904107,2,1,1,1
39,04104,3904104,2,1,1,1
39,04104,3904104,2,1,1,2
39,04104,3904104,2,1,1,1
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,1
39,04107,3904107,2,1,1,1
39,04108,3904108,2,1,2,1
39,04108,3904108,2,1,2,2
39,04108,3904108,2,1,2,2
39,04111,3904111,2,1,4,1
39,04101,3904101,2,1,2,1
39,04101,3904101,2,1,2,2
39,04101,3904101,2,1,2,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,2
39,04105,3904105,1,1,1,2
39,04105,3904105,1,1,1,1
39,04105,3904105,1,1,1,2
39,04105,3904105,1,1,1,2
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04110,3904110,2,1,1,2
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,2
39,04106,3904106,2,1,2,2
39,04106,3904106,2,1,2,1
39,04107,3904107,2,1,2,2
39,04110,3904110,2,1,1,1
39,04110,3904110,2,1,1,2
39,04109,3904109,2,1,1,1
39,04109,3904109,2,1,1,2
39,04109,3904109,2,1,1,2
39,04110,3904110,2,1,2,2
39,04107,3904107,2,1,2,2
39,04107,3904107,1,1,2,2
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,1
39,04105,3904105,1,1,1,1
39,04105,3904105,1,1,1,1
39,04105,3904105,2,1,1,2
39,04111,3904111,2,1,1,1
39,04109,3904109,2,1,1,1
39,04109,3904109,2,1,1,2
39,04110,3904110,2,1,1,2
39,04110,3904110,2,1,1,1
39,04103,3904103,2,1,1,1
39,04109,3904109,2,2,6,2
39,04109,3904109,2,1,2,1
39,04109,3904109,2,1,2,1
39,04102,3904102,2,1,1,2
39,04102,3904102,2,1,1,1
39,04106,3904106,2,1,2,2
39,04105,3904105,2,1,1,2
39,04105,3904105,2,1,1,2
39,04110,3904110,2,1,1,2
39,04106,3904106,2,1,2,2
39,04106,3904106,1,1,2,1
39,04106,3904106,1,1,2,1
39,04110,3904110,2,1,1,1
39,04102,3904102,2,1,1,1
39,04110,3904110,2,1,1,1
39,04104,3904104,2,1,6,1
39,04104,3904104,2,1,6,2
39,04104,3904104,1,1,6,2
39,04104,3904104,1,1,6,1
39,04110,3904110,2,1,1,1
39,04110,3904110,2,1,1,2
39,04110,3904110,2,1,1,2
39,04110,3904110,1,1,1,1
39,04103,3904103,2,1,1,2
39,04103,3904103,2,1,1,1
39,04105,3904105,2,1,4,2
39,04105,3904105,2,1,4,2
39,04107,3904107,2,1,1,2
39,04105,3904105,2,1,1,1
39,04103,3904103,2,1,1,1
39,04110,3904110,2,1,1,1
39,04104,3904104,2,1,1,1
39,04104,3904104,2,1,1,2
39,04106,3904106,2,1,1,2
39,04106,3904106,2,1,1,1
39,04106,3904106,2,1,1,2
39,04106,3904106,2,1,1,1
39,04108,3904108,2,1,1,1
39,04108,3904108,2,2,2,1
39,04101,3904101,2,1,1,2
39,04101,3904101,2,1,1,1
39,04106,3904106,2,1,1,2
39,04109,3904109,2,1,1,2
39,04105,3904105,2,1,2,1
39,04110,3904110,2,1,7,2
39,04105,3904105,2,1,2,1
39,04105,3904105,2,1,1,1
39,04105,3904105,2,1,1,2
39,04110,3904110,2,1,1,2
39,04110,3904110,2,1,1,1
39,04102,3904102,2,1,1,2
39,04109,3904109,2,1,1,1
39,04109,3904109,2,1,1,2
39,04102,3904102,2,1,1,2
39,04102,3904102,1,1,1,1
39,04102,3904102,1,1,1,2
